키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
결혼 시계,115,5,110,높음,3.4,급하락,2.4|3.7|4.1|2.5|2.2|3.0|1.5|1.0|1.5|2.0|2.6|0.8|3.4
부모님 시계,55,5,50,높음,1.5,급하락,1.3|1.0|0.3|0.3|0.3|0.9|0.5|0.3|0.3|0.3|0.3|0.3|1.5
오피스 원피스,350,90,260,높음,36.6,급하락,62.2|75.3|100|60.1|29.9|19.7|17.7|18.2|19.8|17.8|33.9|29.1|36.6
결혼식 하객 셔츠,30,10,20,높음,0.7,유지,0.7|0.8|5.0|0.9|0.7
결혼식 하객 구두,240,30,210,높음,33.2,급하락,64.5|44.0|22.1|49.9|60.2|41.8|30.6|22.7|25.5|19.0|31.6|31.6|33.2
엄마 시계,75,5,70,높음,0.8,급하락,8.2|3.6|5.9|4.8|5.5|5.0|3.5|4.8|2.9|1.3|1.3|3.5|0.8
스트릿 원피스,10,5,5,높음,,,
면접 샌들,55,5,50,높음,0.2,하락,1.4|4.6|2.5|0.2
오피스 블라우스,220,50,170,높음,5.5,급하락,7.2|6.6|6.0|4.4|4.9|0.2|0.4|0.6|0.7|5.1|4.2|5.5
면접 백팩,25,5,20,높음,0.2,유지,0.2|0.2|0.2|0.2
하객 블라우스,2600,300,2300,높음,92.0,급상승,89.5|56.0|31.4|57.0|89.5|57.4|30.3|19.9|21.6|25.7|66.4|100|92.0
헬스 런닝화,270,50,220,높음,6.7,급하락,22.5|22.3|30.4|26.7|20|12.2|8.2|8.6|12.5|5.3|5.3|4.9|6.7
스트릿 운동화,15,5,10,높음,0.6,유지,0.6
페미닌 원피스,160,20,140,높음,9.1,급하락,14.9|16.6|17.1|11.6|5.8|3.6|1.4|2.6|2.4|4.7|4.6|2.5|9.1
데일리 샌들,260,40,220,높음,7.5,급하락,11.7|22.2|14.7|4.7|0.6|1.3|7.5
결혼식 하객 원피스,450,60,390,높음,54.5,하락,69.4|61.1|36.6|92.4|100|65.4|49.9|24.7|26.7|36.5|46.1|57.7|54.5
데일리 뮬,15,5,10,높음,,,
데일리 슬리퍼,140,30,110,중간,52.1,상승,20.4|35.2|25.4|19.0|3.5|7.7|3.5|18.3|25.4|52.1
골프 뮬,45,5,40,높음,3.5,유지,3.5|3.5
골프 슬리퍼,200,30,170,높음,100,급하락,62.0|68.3|97.2|58.5|31.7|8.5|15.5|14.8|31.7|47.2|100
요가 원피스,35,5,30,높음,12.0,유지,3.5|3.5|12.0
