키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
부모님 백팩,35,5,30,높음,22.7,급하락,100|22.7|45.5|22.7|22.7|22.7
장례식 숄더백,10,5,5,낮음,,,
장례식 플랫슈즈,10,5,5,낮음,,,
비치 블라우스,15,5,10,높음,22.7,유지,31.8|22.7
결혼 귀걸이,25,5,20,높음,22.7,유지,27.3|22.7
비치 런닝화,10,5,5,낮음,,,
부모님 에코백,10,5,5,높음,,,
결혼 돌반지,10,5,5,낮음,,,
러닝 로스트볼,10,5,5,낮음,,,
휴양지 아쿠아슈즈,10,5,5,높음,,,
하객 바람막이,10,5,5,낮음,,,
비치 레인부츠,10,5,5,낮음,,,
휴양지 백팩,10,5,5,낮음,33.3,유지,33.3
등산 골프공,10,5,5,높음,,,
부모님 크로스백,15,5,10,높음,100,급상승,33.3|33.3|46.7|33.3|33.3|100
등산 장화,200,30,170,높음,49.4,급하락,63.6|52.6|46.9|41.9|93.3|100|17.0|6.7|10.7|4.5|29.9|40.1|49.4
헬스 앞치마,10,5,5,낮음,,,
60대 여성 아쿠아슈즈,10,5,5,낮음,,,
60대 여성 백팩,75,5,70,높음,13.5,급상승,16.5|4.2|4.0|8.7|11.2|4.2|8.2|19.0|31.9|13.2|20.7|13.5
남자친구 캐리어,10,5,5,낮음,,,
장례식 우비,10,5,5,낮음,,,
러닝 거리측정기,25,5,20,높음,97.6,유지,22.9|100|97.6
등산 구명조끼,10,5,5,낮음,,,
면접 런닝화,10,5,5,낮음,,,
결혼 데오드란트,10,5,5,높음,,,
공항 샌들,15,5,10,높음,,,
휴양지 에코백,15,5,10,높음,83.3,유지,100|41.7|83.3
등산 스니커즈,10,5,5,높음,,,
부모님 샴푸,10,5,5,높음,,,
휴양지 운동화,10,5,5,중간,,,
휴양지 크로스백,25,5,20,높음,5,급하락,10.8|7.5|5|4.2|5
면접 레인부츠,10,5,5,낮음,5,유지,5
60대 여성 에코백,10,5,5,낮음,,,
스트릿 아쿠아슈즈,10,5,5,낮음,,,
장마철 원피스,40,10,30,높음,5,유지,8.3|100|17.5|5
헬스 바람막이,60,10,50,높음,14.5,상승,94.4|28.2|4.0|7.3|89.9|100|37.1|34.3|48.4|60.1|74.6|57.3|14.5
60대 여성 운동화,90,10,80,높음,41.9,급상승,16.9|19.4|6.0|13.3|13.7|2.0|8.5|27.4|40.3|35.9|41.9
60대 여성 크로스백,50,10,40,높음,2.0,급상승,4.0|2.0|4.0|2.0|4.0|4.8|2.0|11.3|2.0
부모님 목걸이,65,5,60,높음,14.9,급하락,39.5|9.3|4.0|17.7|20.6|10.5|4.4|6.9|8.5|10.5|6.0|6.0|14.9
오피스 장화,10,5,5,낮음,,,
러닝 플랫슈즈,10,5,5,낮음,,,
결혼 칫솔,10,5,5,낮음,,,
하객 기내용캐리어,10,5,5,낮음,,,
휴양지 래쉬가드,65,5,60,높음,14.7,상승,14.7|35.3|100|14.7|17.6|64.7|94.1|58.8|14.7
친구 생일 백팩,10,5,5,낮음,,,
결혼 바디필로우,10,5,5,낮음,,,
오피스 구명조끼,10,5,5,낮음,,,
비치 앞치마,10,5,5,낮음,,,
부모님 팔찌,35,5,30,높음,62.5,하락,100|20.8|20.8|20.8|20.8|50|62.5
오피스 스니커즈,10,5,5,낮음,,,
공항 수영복,10,5,5,낮음,,,
장례식 로퍼,25,5,20,중간,38.5,유지,100|38.5
장마철 뮬,10,5,5,높음,,,
등산 로스트볼,10,5,5,낮음,,,
부모님 치약,10,5,5,높음,,,
러닝 아이언,10,5,5,낮음,,,
하객 슬링백,15,5,10,높음,,,
50대 엄마 아쿠아슈즈,10,5,5,낮음,,,
오피스 티셔츠,25,5,20,높음,,,
50대 엄마 백팩,10,5,5,높음,,,
친구 생일 에코백,10,5,5,낮음,,,
소개팅 뮬,10,5,5,낮음,,,
러닝 셔츠,1320,300,1020,높음,55.4,급하락,63.4|84.9|100|99.5|79.2|51.2|29.9|21.7|25.3|22.4|37.7|48.5|55.4
장례식 케이스,10,5,5,낮음,,,
장례식 여성가방,10,5,5,낮음,,,
친구 생일 크로스백,10,5,5,낮음,,,
등산 거리측정기,10,5,5,높음,,,
비치 바람막이,15,5,10,높음,,,
면접 앞치마,10,5,5,낮음,,,
50대 엄마 에코백,10,5,5,낮음,,,
결혼 헤어에센스,10,5,5,낮음,,,
50대 엄마 운동화,15,5,10,높음,83.3,유지,100|83.3
페미닌 뮬,10,5,5,낮음,,,
50대 엄마 크로스백,10,5,5,높음,83.3,유지,83.3
장례식 반팔블라우스,10,5,5,높음,,,
하객 장화,10,5,5,낮음,,,
여자친구 백팩,15,5,10,낮음,,,
친구 생일 샴푸,10,5,5,낮음,,,
러닝 구두,10,5,5,높음,,,
등산 플랫슈즈,10,5,5,낮음,,,
장례식 반팔셔츠,80,10,70,높음,7.1,급하락,14.9|85.1|100|88.4|65.6|7.1
러닝 남성골프화,10,5,5,낮음,,,
면접 바람막이,10,5,5,낮음,,,
결혼 기내용캐리어,10,5,5,낮음,,,
결혼 바디로션,10,5,5,낮음,,,
하객 구명조끼,10,5,5,낮음,,,
친구 생일 목걸이,10,5,5,높음,,,
하객 스니커즈,10,5,5,높음,,,
휴양지 블라우스,50,10,40,높음,9.8,급하락,91.7|66.9|100|46.6|27.8|23.3|18.8|39.8|70.7|52.6|55.6|9.8
여자친구 에코백,10,5,5,낮음,,,
장마철 슬리퍼,120,20,100,높음,8.4,급하락,15.5|100|7.2|1.5|8.4
부모님 귀걸이,15,5,10,중간,,,
공항 아쿠아슈즈,10,5,5,낮음,,,
부모님 돌반지,10,5,5,낮음,,,
여자친구 크로스백,10,5,5,높음,1.8,유지,1.8
공항 백팩,80,20,60,높음,9.7,급하락,36.8|32.6|52.8|71.5|62.5|56.2|28.5|52.8|100|61.8|21.5|22.2|9.7
러닝 로퍼,10,5,5,낮음,,,
결혼 젤네일,10,5,5,낮음,,,
60대 여성 블라우스,90,10,80,높음,13.2,급상승,7.6|4.2|7.6|8.3|13.2
하객 티셔츠,15,5,10,높음,,,
헬스 골프공,10,5,5,낮음,,,
소개팅 슬리퍼,15,5,10,낮음,100,유지,100
휴양지 런닝화,10,5,5,낮음,,,
소개팅 캐리어,10,5,5,낮음,,,
비치 기내용캐리어,10,5,5,낮음,,,
헬스 장화,15,10,5,높음,100,유지,100
결혼 슬링백,10,5,5,낮음,,,
친구 생일 팔찌,10,5,5,낮음,,,
등산 아이언,10,5,5,높음,,,
60대 여성 런닝화,10,5,5,낮음,,,
휴양지 레인부츠,10,5,5,낮음,,,
친구 생일 치약,10,5,5,낮음,,,
등산 셔츠,460,130,330,높음,28.8,하락,43.2|30.8|17.0|16.9|26.5|28.7|12.3|4.3|9.2|10.4|26.3|25.3|28.8
등산 우비,720,160,560,중간,39.4,급하락,85.0|100|40.9|34.1|74.0|76.4|20|27.4|16.8|17.3|31.2|36.6|39.4
오피스 플랫슈즈,10,5,5,낮음,,,
헬스 구명조끼,10,5,5,낮음,,,
공항 에코백,25,5,20,낮음,10.5,유지,8.8|10.5
60대 여성 레인부츠,10,5,5,낮음,,,
하객 파우치,10,5,5,낮음,,,
엄마 캐리어,10,5,5,중간,100,유지,8.8|100
헬스 스니커즈,25,5,20,높음,26.3,급하락,36.8|100|84.2|26.3|26.3|26.3|26.3|26.3
비치 슬링백,10,5,5,높음,,,
부모님 데오드란트,10,5,5,낮음,,,
여자친구 샴푸,10,5,5,낮음,,,
스트릿 블라우스,10,5,5,낮음,,,
페미닌 슬리퍼,10,5,5,높음,,,
등산 바지,7080,1620,5460,중간,56.9,하락,93.7|69.1|50.2|54.8|74.1|100|89.1|74.7|75.4|56.2|72.4|64.6|56.9
공항 운동화,10,5,5,낮음,,,
공항 크로스백,35,5,30,높음,0.0,급상승,0.1|0.0|0.1|0.1|0.0|0.0|0.0|0.1|0.3|0.1|0.0
면접 기내용캐리어,10,5,5,낮음,,,
장례식 슬랙스,15,5,10,중간,,,
헬스 티셔츠,1020,170,850,높음,51.0,급하락,73.5|94.8|100|73.2|65.1|28.7|21.6|23.8|29.2|37.5|47.0|46.7|51.0
여름 휴가 원피스,630,90,540,높음,14.4,급하락,19.2|42.0|80.5|32.9|3.9|1.2|2.2|2.0|6.7|6.8|6.4|4.2|14.4
스트릿 런닝화,10,5,5,낮음,,,
러닝 반팔블라우스,10,5,5,낮음,,,
여자친구 목걸이,860,100,760,높음,47.4,하락,44.1|51.6|63.0|53.9|70.8|54.0|73.5|100|61.2|50.0|56.8|41.2|47.4
스트릿 레인부츠,10,5,5,낮음,,,
하객 보스턴백,10,5,5,낮음,,,
등산 구두,10,5,5,높음,,,
러닝 반팔셔츠,10,5,5,높음,,,
부모님 칫솔,10,5,5,낮음,,,
공항 래쉬가드,10,5,5,낮음,,,
러닝 드라이버,10,5,5,낮음,,,
오피스 셔츠,50,10,40,높음,25,급상승,30|60|30|55|25|100|25
등산 남성골프화,10,5,5,낮음,,,
면접 슬링백,35,5,30,높음,0.1,유지,0.5|0.1|0.1
오피스 우비,10,5,5,낮음,,,
상견례 원피스,1360,230,1130,높음,49.1,급하락,100|74.5|48.0|61.3|79.1|60.5|42.0|31.6|41.6|40.5|52.6|57.4|49.1
비치 장화,10,5,5,낮음,,,
여자친구 팔찌,140,20,120,높음,2.6,급하락,6.8|7.5|8.3|9.1|6.9|3.7|5.2|8.0|3.7|3.0|4.7|3.6|2.6
부모님 바디필로우,10,5,5,낮음,,,
하객 토트백,10,5,5,높음,,,
결혼 벽시계,10,5,5,낮음,,,
50대 엄마 블라우스,10,5,5,낮음,,,
오피스 바지,20,10,10,높음,,,
캐주얼 원피스,2950,310,2640,높음,94.2,급하락,100|97.9|96.8|63.4|62.2|72.8|18.9|4.2|10.8|21.5|77.7|50.2|94.2
여자친구 치약,10,5,5,낮음,,,
헬스 로스트볼,10,5,5,낮음,,,
여름 휴가 뮬,10,5,5,낮음,,,
휴양지 앞치마,10,5,5,낮음,,,
남자친구 백팩,25,5,20,높음,0.1,유지,0.3|0.1|0.1
등산 로퍼,10,5,5,낮음,,,
친구 생일 귀걸이,10,5,5,낮음,,,
장마철 샌들,1290,270,1020,높음,15.4,급하락,39.1|100|19.4|1.7|0.3|2.4|15.4
비치 구명조끼,10,5,5,낮음,,,
50대 엄마 런닝화,10,5,5,낮음,,,
비치 스니커즈,10,5,5,낮음,,,
부모님 반지,50,10,40,높음,64.2,급하락,100|19.8|53.1|32.1|66.7|39.5|43.2|55.6|84.0|49.4|24.7|13.6|64.2
60대 여성 앞치마,10,5,5,낮음,,,
친구 생일 돌반지,10,5,5,낮음,,,
아빠 캐리어,10,5,5,낮음,,,
하객 숄더백,10,5,5,높음,,,
하객 플랫슈즈,10,5,5,높음,,,
소개팅 샌들,65,5,60,높음,6.6,급하락,6.6|59.0|78.7|100|4.1|6.6
결혼 지갑,25,5,20,낮음,,,
헬스 거리측정기,10,5,5,낮음,,,
오피스 구두,15,5,10,높음,5.7,유지,4.8|5.7
50대 엄마 레인부츠,10,5,5,낮음,,,
면접 장화,10,5,5,낮음,4.8,유지,20|4.8
비치 티셔츠,45,5,40,높음,4.8,급하락,9.5|12.4|100|40|4.8|4.8
결혼 파우치,10,5,5,낮음,,,
자전거 원피스,30,10,20,높음,100,유지,35.7|71.4|100
상견례 뮬,10,5,5,낮음,,,
남자친구 에코백,10,5,5,낮음,,,
결혼 헤어밴드,10,5,5,낮음,,,
남자친구 크로스백,15,5,10,높음,100,유지,100
휴양지 바람막이,10,5,5,낮음,,,
캐주얼 뮬,15,5,10,높음,,,
러닝 슬랙스,10,5,5,높음,,,
면접 구명조끼,10,5,5,낮음,,,
스트릿 앞치마,10,5,5,중간,,,
친구 생일 데오드란트,10,5,5,낮음,,,
부모님 헤어에센스,10,5,5,낮음,,,
비치 수영가방,15,5,10,낮음,,,
페미닌 샌들,15,5,10,높음,100,유지,100
면접 스니커즈,35,5,30,높음,8.6,유지,8.6|8.6
등산 반팔블라우스,10,5,5,낮음,,,
60대 여성 바람막이,25,5,20,높음,63.8,급상승,55.2|13.8|17.2|10.3|100|63.8
비치 파우치,35,5,30,높음,10.3,급하락,10.3|17.2|46.6|8.6|25.9|10.3
오피스 로퍼,10,5,5,낮음,15.5,유지,10.3|15.5
결혼 보스턴백,10,5,5,낮음,,,
헬스 플랫슈즈,10,5,5,높음,,,
하객 셔츠,70,10,60,높음,43.2,급하락,89.2|40.5|8.1|100|6.8|36.5|43.2
면접 티셔츠,25,5,20,높음,16.2,유지,6.8|16.2
하객 우비,10,5,5,낮음,,,
등산 반팔셔츠,50,10,40,높음,40,급하락,98|100|30|12|32|40
부모님 기내용캐리어,10,5,5,낮음,,,
부모님 바디로션,10,5,5,낮음,,,
등산 드라이버,10,5,5,낮음,,,
남자친구 샴푸,10,5,5,낮음,,,
자전거 뮬,10,5,5,낮음,,,
여자친구 귀걸이,80,10,70,높음,19.8,급상승,8.7|6.6|36.4|64.0|9.1|17.4|100|31.0|37.6|38.4|10.3|19.8
공항 블라우스,10,5,5,낮음,,,
결혼 토트백,10,5,5,낮음,,,
여름 휴가 슬리퍼,15,5,10,낮음,,,
하객 바지,15,5,10,높음,22.2,유지,22.2
여름 휴가 캐리어,10,5,5,높음,,,
친구 생일 칫솔,10,5,5,낮음,,,
여자친구 돌반지,10,5,5,낮음,,,
스트릿 바람막이,15,5,10,높음,18.5,하락,100|18.5|63.0|59.3|63.0|77.8|18.5
비치 보스턴백,10,5,5,낮음,,,
상체비만 원피스,65,5,60,높음,3.2,급하락,23.2|85.8|100|51.0|18.7|3.2
공항 런닝화,10,5,5,낮음,,,
친구 생일 바디필로우,10,5,5,낮음,,,
남자친구 목걸이,25,5,20,높음,3.2,유지,3.2|3.2|3.2|3.9|3.2|3.2|3.2
부모님 젤네일,10,5,5,낮음,,,
면접 파우치,10,5,5,낮음,,,
헬스 아이언,10,5,5,낮음,,,
50대 엄마 앞치마,10,5,5,낮음,,,
부모님 슬링백,10,5,5,낮음,,,
공항 레인부츠,10,5,5,낮음,0.6,유지,0.6
오피스 반팔블라우스,10,5,5,높음,,,
비치 토트백,45,5,40,높음,1.6,유지,1.5|1.6
하객 구두,460,70,390,높음,51.3,하락,100|66.2|36.4|75.6|99.1|79.0|67.3|40.5|34.8|38.0|52.0|59.9|51.3
러닝 골프그립,10,5,5,낮음,,,
헬스 셔츠,80,10,70,높음,65.2,유지,100|52.2|10.9|50|21.7|13.0|10.9|21.7|47.8|34.8|65.2|65.2
결혼 숄더백,10,5,5,낮음,,,
휴양지 기내용캐리어,10,5,5,낮음,,,
상견례 슬리퍼,10,5,5,낮음,,,
상견례 캐리어,10,5,5,낮음,,,
헬스 우비,10,5,5,낮음,,,
여자친구 데오드란트,10,5,5,낮음,,,
남자친구 팔찌,65,5,60,높음,12.9,급하락,83.5|40|100|36.5|21.2|12.9|11.8|65.9|11.8|11.8|12.9
친구 생일 반지,10,5,5,낮음,,,
데이트 원피스,45,5,40,높음,5.9,급하락,20|11.8|8.2|20|14.1|5.9|5.9|5.9|5.9
60대 여성 기내용캐리어,10,5,5,낮음,,,
오피스 반팔셔츠,10,5,5,높음,,,
캐주얼 슬리퍼,80,10,70,높음,1.0,급하락,1.2|2.0|1.2|0.4|0.2|0.2|1.0
헬스 바지,1560,260,1300,높음,61.5,급하락,89.9|96.3|100|84.4|68.9|68.0|68.0|71.1|79.6|64.3|82.7|73.7|61.5
물놀이 원피스,55,5,50,높음,0.2,하락,0.4|2.8|9.6|2.2|0.2
면접 보스턴백,10,5,5,낮음,,,
남자친구 치약,10,5,5,낮음,,,
비치 숄더백,25,5,20,높음,100,유지,100
상체비만 뮬,10,5,5,낮음,,,
비치 플랫슈즈,10,5,5,낮음,,,
휴양지 슬링백,10,5,5,낮음,,,
50대 엄마 바람막이,10,5,5,낮음,,,
하객 로퍼,15,5,10,낮음,,,
등산 슬랙스,10,5,5,낮음,,,
결혼 비누,10,5,5,낮음,,,
면접 토트백,10,5,5,낮음,,,
결혼 염색,45,5,40,중간,20,급하락,64|64|24|68|100|24|20|20|20|20
60대 여성 슬링백,10,5,5,낮음,,,
헬스 구두,10,5,5,낮음,,,
여자친구 칫솔,10,5,5,낮음,,,
러닝 웨지샌들,10,5,5,낮음,,,
자전거 슬리퍼,25,5,20,중간,,,
장마철 아쿠아슈즈,25,5,20,높음,14.7,유지,100|14.7|14.7
친구 생일 헤어에센스,10,5,5,낮음,,,
러닝 퍼터,10,5,5,낮음,,,
하객 케이스,10,5,5,낮음,,,
하객 여성가방,10,5,5,낮음,,,
헬스 남성골프화,10,5,5,낮음,,,
여자친구 바디필로우,10,5,5,높음,,,
어버이날 캐리어,10,5,5,낮음,,,
