키워드,검색량,네이버검색량,추이,난이도,섹션,패션,LF몰,W컨셉,한섬,SSF샵,SI빌리지,Status,순위,우선순위
브라렛,4400,14460,급하락,,언더웨어,Y,0,0,0,0,0,미수집,6,6순위
야구,450000,9445100,급하락,,스포츠,N,0,0,0,0,0,미수집,0,
항공,33100,48400,하락,,기타,N,0,0,0,0,0,미수집,0,
사파리,18100,14760,하락,,의류,Y,0,0,0,0,0,미수집,26,26순위
바람막이,12100,43400,급상승,19,의류,Y,0,0,0,20,0,Missing,3,3순위
면,4400,4920,급하락,,의류,Y,0,0,0,0,0,미수집,59,59순위
캐주얼,3600,2670,급하락,,의류,Y,0,0,0,0,0,미수집,73,73순위
롱 자켓,170,120,급상승,,의류,Y,0,0,0,0,0,미수집,122,122순위
하프 자켓,0,180,급상승,,의류,Y,0,0,0,0,0,미수집,118,118순위
조끼,5400,9940,상승,,의류,Y,0,0,0,0,0,미수집,37,37순위
트렌치,2900,8890,하락,27,의류,Y,0,0,0,7,0,Missing,16,16순위
민소매,5400,8780,급하락,,의류,Y,0,0,0,0,0,미수집,41,41순위
후드,8100,7430,급하락,,의류,Y,0,0,0,0,0,미수집,50,50순위
스웻셔츠,0,510,급상승,,의류,Y,0,0,0,0,0,미수집,109,109순위
모직,480,570,급상승,,의류,Y,0,0,0,0,0,미수집,106,106순위
코듀로이,4400,2060,상승,,의류,Y,0,0,0,0,0,미수집,84,84순위
배기팬츠,0,4970,하락,,의류,Y,0,0,0,0,0,미수집,58,58순위
밴딩,1300,2430,급하락,,의류,Y,0,0,0,0,0,미수집,77,77순위
캐주얼 점퍼,10,15,유지,,의류,Y,0,0,0,0,0,미수집,131,131순위
가죽,2900,3970,상승,,의류,Y,0,0,0,0,0,미수집,65,65순위
치노,1600,2620,급하락,,의류,Y,0,0,0,0,0,미수집,74,74순위
조거 밴딩,0,10,유지,,의류,Y,0,0,0,0,0,미수집,136,136순위
솔리드,3600,14910,급상승,,의류,Y,0,0,0,0,0,미수집,25,25순위
