code,brand,org
AR84,개성공방,e-영업4
AR86,객,e-영업3
AS05,굿나잇데이브,e-영업3
AS08,키처스18,e-영업4
AS09,실버크로스,e-영업3
AS10,금강제화,e-영업3
AS29,나귀사,e-영업3
AS30,슈스파,e-영업3
AS39,퍼팅원,e-영업4
AS40,기타 브랜드,e-영업4
AS61,발렌시아가,e-영업3
AS62,발리,e-영업3
AS63,보테가 베네타,e-영업3
AS64,버버리,e-영업3
AS66,끌로에,e-영업3
AS68,에트로,e-영업3
AS69,펜디,e-영업3
AS70,살바토레 페라가모,e-영업3
AS72,지방시,e-영업3
AS73,골든구스,e-영업3
AS74,구찌,e-영업3
AS75,이세이미야케,e-영업3
AS77,몽클레어,e-영업3
AS78,몽블랑,e-영업3
AS79,무스너클,e-영업3
AS80,멀버리,e-영업3
AS81,노비스,e-영업3
AS82,판도라,e-영업3
AS83,프라다,e-영업3
AS84,스와로브스키,e-영업3
AS85,톰브라운,e-영업3
AS86,토즈,e-영업3
AS87,토리버치,e-영업3
AS88,발렌티노,e-영업3
AS89,생 로랑,e-영업3
AT04,한샘엠시스,e-영업4
AT06,닥터디퍼런트,e-영업4
AT14,제이미원더,e-영업3
AT23,리플레인,e-영업3
AT26,릿첼,e-영업3
AT34,코비전자,e-영업4
AT37,리틀라이프,e-영업3
AT45,브라 이트스타트,e-영업3
AT52,갭,e-영업3
AT58,캘빈클라인,e-영업3
AT59,버츠비,e-영업4
AT71,칼만,e-영업4
AT73,브라운햇,e-영업3
AT74,셀로니아,e-영업4
AT75,브로우엔드,e-영업3
AT78,케네스콜,e-영업3
AT95,베르에누아,e-영업3
ATHE,아떼 바네사브루노,e-영업1
AU13,가르니에,e-영업4
AU18,겐조,e-영업4
AU19,겔랑,e-영업4
AU20,고세,e-영업4
AU22,골드웰,e-영업4
AU23,구찌,e-영업4
AU24,그란데래쉬,e-영업4
AU26,글램글로우,e-영업4
AU30,기노,e-영업4
AU31,기라로쉬,e-영업4
AU33,까르띠에,e-영업4
AU35,까사렐,e-영업4
AU36,꼬달리,e-영업4
AU37,꼼데가르송,e-영업4
AU38,끌레드뽀,e-영업4
AU39,끌로에,e-영업4
AU42,나스,e-영업4
AU45,네스티단테,e-영업4
AU47,네오스트라타,e-영업4
AU48,네츄라 비세,e-영업4
AU50,노티카,e-영업4
AU51,누들 앤 부,e-영업4
AU52,눅스,e-영업4
AU55,니옥신,e-영업4
AU57,다비네스,e-영업4
AU58,다비도프,e-영업4
AU60,닥터 데니스 그로스,e-영업4
AU62,닥터브란트,e-영업4
AU65,닥터 하우쉬카,e-영업4
AU67,달팡,e-영업4
AU74,더마힐,e-영업4
AU76,더말로지카,e-영업4
AU77,마일드엠,e-영업4
AU78,피에이치드롭,e-영업4
AU79,더밤,e-영업4
AU80,던힐,e-영업4
AU82,데메테르,e-영업4
AU85,데이빗 베컴,e-영업4
AU86,돌체앤가바나,e-영업4
AU88,드끌레오,e-영업4
AU89,디 아트 오브 쉐이빙,e-영업4
AU92,딥티크,e-영업4
AU93,딸고,e-영업4
AU95,라 메르,e-영업4
AU97,라 프레리,e-영업4
AV01,라로슈포제,e-영업4
AV02,라리끄,e-영업4
AV03,라베라,e-영업4
AV04,라우라 비아조티,e-영업4
AV05,라코스테,e-영업4
AV08,폴로 랄프로렌,e-영업4
AV09,람보르기니,e-영업4
AV10,랑방,e-영업4
AV11,랑카스터,e-영업4
AV12,랑콤,e-영업4
AV25,레드켄,e-영업4
AV27,레브론,e-영업4
AV29,레이블 엠,e-영업4
AV37,로라메르시에,e-영업4
AV38,로레알 파리,e-영업4
AV39,로리스 아자로,e-영업4
AV40,채뉴욕,e-영업3
AV44,로샤스,e-영업4
AV46,로에베,e-영업4
AV47,로져 앤 갈렛,e-영업4
AV48,록,e-영업4
AV49,록시땅,e-영업4
AV50,롤리타 렘피카,e-영업4
AV51,로에베,e-영업3
AV52,르 바이브,e-영업4
AV53,르네휘테르,e-영업4
AV55,리노킨,e-영업4
AV57,리빙 프루프,e-영업4
AV62,립스틱 퀸,e-영업4
AV64,마리오 바데스쿠,e-영업4
AV72,마크제이콥스,e-영업4
AV73,말리에,e-영업4
AV75,매트릭스,e-영업4
AV83,알렉산더 맥퀸,e-영업3
AV85,밍크뮤,e-영업3
AV87,온,e-영업3
AV88,맨사이언스,e-영업4
AV90,미코,e-영업4
AV98,해츠토리,e-영업3
AV99,로씨로씨,e-영업3
AW01,프라이탁,e-영업3
AW03,바디루틴,e-영업4
AW05,앤오즈,e-영업3
AW12,커버걸,e-영업4
AW13,필로르가,e-영업4
AW14,멀린앤게츠,e-영업4
AW17,막스마라,e-영업3
AW18,위크엔드 막스마라,e-영업3
AW22,리브온,e-영업4
AW24,알렉산드레 제이,e-영업4
AW27,데자뷰,e-영업4
AW31,글래스하우스,e-영업4
AW32,미우미우,e-영업4
AW38,더마이,e-영업4
AW39,아닉구딸,e-영업4
AW40,더마콜,e-영업4
AW41,에스케이투,e-영업4
AW44,더마퀘스트,e-영업4
AW48,디케이엔와이,e-영업4
AW54,키스미,e-영업4
AW59,랩시리즈,e-영업4
AW61,4711,e-영업4
AW62,쓰리,e-영업4
AW70,메이블린 뉴욕,e-영업4
AW71,메이슨 피어슨,e-영업4
AW72,메이크업 포에버,e-영업4
AW77,모로칸오일,e-영업4
AW81,몰리나드,e-영업4
AW83,키엘,e-영업4
AW84,비오템,e-영업4
AW85,몰튼 브라운,e-영업4
AW86,몽블랑,e-영업4
AW87,무스텔라,e-영업4
AW92,밀러 해리스,e-영업4
AW93,밀레피오리,e-영업4
AW96,바비브라운,e-영업4
AW97,바이 테리,e-영업4
AW98,바이레도,e-영업4
AW99,바이오실크,e-영업4
AX00,바이오엘리먼츠,e-영업4
AX01,백스터 오브 캘리포니아,e-영업4
AX03,발렌시아가,e-영업4
AX04,발렌티노,e-영업4
AX05,발몽,e-영업4
AX07,버버리,e-영업4
AX08,범블 앤 범블,e-영업4
AX10,베네피트,e-영업4
AX12,모브쌩,e-영업4
AX14,베르사체,e-영업4
AX15,베어미네랄스,e-영업4
AX17,베카,e-영업4
AX21,보르게세,e-영업4
AX24,보이스 1920,e-영업4
AX25,보테가 베네타,e-영업4
AX26,본드넘버나인,e-영업4
AX27,부르조아,e-영업4
AX28,부쉐론,e-영업4
AX29,불가리,e-영업4
AX34,블리스,e-영업4
AX35,블링크,e-영업4
AX38,비쉬,e-영업4
AX44,빅토리녹스,e-영업4
AX52,빠이요,e-영업4
AX55,사샤후안,e-영업4
AX57,살바토레 페라가모,e-영업4
AX58,샤넬,e-영업4
AX59,샹테카이,e-영업4
AX61,세인트제임스,e-영업3
AX68,아베다,e-영업4
AX69,세르주 루텐,e-영업4
AX70,세바스찬,e-영업4
AX73,셀렉스씨,e-영업4
AX74,케네스콜뉴욕,e-영업3
AX77,소피나,e-영업4
AX79,샤우마,e-영업4
AX80,바난겐,e-영업4
AX86,슈에무라,e-영업4
AX87,스매쉬 박스,e-영업4
AX89,스캐넌,e-영업4
AX93,스텔라 매카트니,e-영업4
AX94,스킨 슈티컬즈,e-영업4
AX95,스틸라,e-영업4
AX97,시세이도,e-영업4
AX98,시슬리,e-영업4
AY00,무디디,e-영업3
AY03,아메리칸 크루,e-영업4
AY07,아라미스,e-영업4
AY08,아디다스,e-영업4
AY10,아가디르 아르간 오일,e-영업4
AY11,아베크롬비,e-영업4
AY12,아벤느,e-영업4
AY15,아워글라스,e-영업4
AY20,아쿠아 델엘바,e-영업4
AY21,아쿠아 디 파르마,e-영업4
AY23,아틀리에 코롱,e-영업4
AY31,카림,e-영업4
AY35,노와,e-영업4
AY37,까사맘,e-영업4
AY43,어도어,e-영업3
AY44,판도라,e-영업3
AY47,디올,e-영업3
AY51,루이스카렌,e-영업4
AY56,피셸,e-영업3
AY58,로보카 폴리,e-영업3
AY60,엘리자베스아덴,e-영업4
AY61,디키,e-영업3
AY70,콰이로,e-영업3
AY71,레미제라블,e-영업4
AY78,바세린,e-영업4
AY80,듀이트리,e-영업4
AY81,케라시스,e-영업4
AY93,씨투와이,e-영업4
AY95,리앤데코,e-영업4
AY96,아티잔 파퓨미어,e-영업4
AY97,아피비타,e-영업4
AY98,아하바,e-영업4
AY99,안나수이,e-영업4
